original_code,dotted_code,valid,version,official_display,mimic_display,message
I509,I50.9,False,,,"Heart failure, unspecified",The provided code 'http://hl7.org/fhir/sid/icd-9-cm|2012#I50.9' was not found in the value set 'http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-diagnosis|1.0.0'; Unknown code 'I50.9' in the CodeSystem 'http://hl7.org/fhir/sid/icd-9-cm' version '2012'
J45901,J45.901,False,,,Unspecified asthma with (acute) exacerbation,The provided code 'http://hl7.org/fhir/sid/icd-9-cm|2012#J45.901' was not found in the value set 'http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-diagnosis|1.0.0'; Unknown code 'J45.901' in the CodeSystem 'http://hl7.org/fhir/sid/icd-9-cm' version '2012'
O8612,O86.12,False,,,Endometritis following delivery,The provided code 'http://hl7.org/fhir/sid/icd-9-cm|2012#O86.12' was not found in the value set 'http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-diagnosis|1.0.0'; Unknown code 'O86.12' in the CodeSystem 'http://hl7.org/fhir/sid/icd-9-cm' version '2012'
R270,R27.0,False,,,"Ataxia, unspecified",The provided code 'http://hl7.org/fhir/sid/icd-9-cm|2012#R27.0' was not found in the value set 'http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-diagnosis|1.0.0'; Unknown code 'R27.0' in the CodeSystem 'http://hl7.org/fhir/sid/icd-9-cm' version '2012'
S01312A,S01.312A,False,,,"Laceration without foreign body of left ear, init encntr",The provided code 'http://hl7.org/fhir/sid/icd-9-cm|2012#S01.312A' was not found in the value set 'http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-diagnosis|1.0.0'; Unknown code 'S01.312A' in the CodeSystem 'http://hl7.org/fhir/sid/icd-9-cm' version '2012'
W01190A,W01.190A,False,,,"Fall same lev from slip/trip w strike agnst furniture, init",The provided code 'http://hl7.org/fhir/sid/icd-9-cm|2012#W01.190A' was not found in the value set 'http://mimic.mit.edu/fhir/mimic/ValueSet/mimic-diagnosis|1.0.0'; Unknown code 'W01.190A' in the CodeSystem 'http://hl7.org/fhir/sid/icd-9-cm' version '2012'
